business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,is_restaurant
Vvq9QucD0IokLBlkbttd3Q,Brioche Dorée,1000 Airport Road,Edmonton,AB,T5G 3G2,53.5708587,-113.5228119,3.5,5,0,"{'WiFi': ""'free'"", 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'False', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Bakeries, Food, Coffee & Tea",,True
qL4Ya3cBmPLIUlXdx0aEsw,Blue Taj Restaurant,1523 50 Street NW,Edmonton,AB,T6L 7C9,53.4448485567,-113.4185319988,2.5,7,0,"{'WiFi': ""u'free'"", 'RestaurantsReservations': 'True', 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'HasTV': 'True', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'full_bar'"", 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '2'}","Restaurants, Indian","{'Monday': '9:0-22:0', 'Tuesday': '9:0-22:0', 'Wednesday': '9:0-22:0', 'Thursday': '9:0-22:0', 'Friday': '9:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '9:0-22:0'}",True
e0iCFeakO_y2Jwjm8stW8w,Taste of Szechuan,3855 99 Street NW,Edmonton,AB,T6E 6H6,53.4732234,-113.4852708,4.5,12,1,"{'WiFi': ""u'free'"", 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': True, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False', 'Caters': 'False', 'WheelchairAccessible': 'True', 'RestaurantsReservations': 'True', 'HasTV': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsDelivery': 'False', 'BikeParking': 'False', 'GoodForKids': 'True', 'DogsAllowed': 'False'}","Chinese, Szechuan, Restaurants, Hot Pot","{'Monday': '17:0-21:30', 'Tuesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:30', 'Saturday': '17:0-22:30', 'Sunday': '17:0-21:30'}",True
J6KMedR-L-tP4wKIAsj7tw,Ricky's All Day Grill,10140 109 Street NW,Edmonton,AB,T5J 1M7,53.5412071758,-113.5096330708,2.5,23,1,"{'OutdoorSeating': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'WiFi': ""'free'"", 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTableService': 'True', 'Alcohol': ""'beer_and_wine'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}","Restaurants, Canadian (New), American (New)",,True
rPCdcIzXOeeAFfaUhdJJ6A,Original Joe's Restaurant & Bar,12520 102nd Avenue,Edmonton,AB,T5N 0M3,53.5434945,-113.5387172,4.0,50,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'HasTV': 'True', 'GoodForKids': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'True', 'GoodForDancing': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'WiFi': ""'no'"", 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'True', 'BikeParking': 'True', 'Music': ""{u'dj': False, u'live': None, u'jukebox': False, u'video': False, u'background_music': False, u'karaoke': None, u'no_music': False}"", 'Ambience': ""{u'hipster': False, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}""}","American (New), Pubs, Canadian (New), Burgers, Bars, American (Traditional), Restaurants, Buffets, Nightlife","{'Monday': '11:30-23:0', 'Tuesday': '11:30-23:0', 'Wednesday': '11:30-23:0', 'Thursday': '11:30-23:0', 'Friday': '11:30-23:0', 'Saturday': '11:30-23:0', 'Sunday': '11:30-23:0'}",True
YHN77g2zWsEN1F_q9W_WdQ,Cha Island Tea,10332 81 Avenue,Edmonton,AB,T6E 1X2,53.5172104,-113.4965331,4.0,31,0,"{'Alcohol': ""u'none'"", 'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'BikeParking': 'True', 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'False', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'Caters': 'False', 'HappyHour': 'True'}","Tea Rooms, Coffee & Tea, Restaurants, Sandwiches, Cafes, Breakfast & Brunch, Food","{'Monday': '16:30-23:0', 'Tuesday': '16:30-23:0', 'Wednesday': '16:30-23:0', 'Thursday': '16:30-23:0', 'Friday': '16:30-2:0', 'Saturday': '16:30-2:0', 'Sunday': '16:30-23:0'}",True
V41hJnfJSAad4L_YdVQBGQ,Zen Q,10807 Jasper Ave,Edmonton,AB,T5J 5G9,53.5407801859,-113.5071181878,4.0,12,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'BikeParking': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WiFi': ""u'free'"", 'RestaurantsTableService': 'True'}","Desserts, Restaurants, Taiwanese, Bubble Tea, Food","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-23:0'}",True
w1cH5PL1j3NciTHk2wgg9A,Nando's PERi-PERi,4228 Gateway Blvd.,Edmonton,AB,T6J 5J7,53.47875,-113.49304,3.5,97,1,"{'OutdoorSeating': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Caters': 'True', 'RestaurantsReservations': 'False', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'WiFi': ""'free'"", 'HasTV': 'True', 'RestaurantsTableService': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'False', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'beer_and_wine'""}","Portuguese, Restaurants, African","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",True
mNxt6P05Sf5fhPtw_CtC2A,Solstice Seasonal Cuisine,10723 124th Street NW,Edmonton,AB,T5M 0H2,53.551812,-113.5356059,4.5,34,0,"{'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': False}"", 'Caters': 'False', 'CoatCheck': 'False', 'NoiseLevel': ""'average'"", 'HappyHour': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False', 'Alcohol': ""'full_bar'"", 'RestaurantsPriceRange2': '3', 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'Music': ""{'dj': False}"", 'HasTV': 'False', 'RestaurantsTakeOut': 'False', 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'GoodForDancing': 'False', 'WiFi': ""'free'""}","Canadian (New), American (Traditional), Event Planning & Services, Bars, Cocktail Bars, Venues & Event Spaces, French, Modern European, Nightlife, Restaurants, Lounges","{'Monday': '17:0-23:0', 'Tuesday': '17:0-23:0', 'Wednesday': '17:0-23:0', 'Thursday': '17:0-23:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0'}",True
zxJfzu6Hy4E5bjP9fzh93g,Nikki's,11035 Groat Road NW,Edmonton,AB,T5M 3J9,53.560927792,-113.554500038,4.0,8,1,"{'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'no'"", 'HasTV': 'True', 'BikeParking': 'None'}","Fast Food, Restaurants, Burgers",,True
