business_id,name,state,stars,review_count,OutdoorSeating,RestaurantsDelivery,RestaurantsReservations,GoodForKids,RestaurantsGoodForGroups,RestaurantsTakeOut,WheelchairAccessible,RestaurantsTableService,GoodForDancing,HappyHour,CoatCheck,BusinessAcceptsCreditCards,DriveThr,ByAppointmentOnly,Smoking,HasParking,HasAmbienceDetails,Category_Acai_Bowls,Category_Accessories,Category_Active_Life,Category_Acupuncture,Category_Afghan,Category_African,Category_Air_Duct_Cleaning,Category_Amateur_Sports_Teams,Category_American_(New),Category_American_(Traditional),Category_Appliances,Category_Arabic,Category_Arcades,Category_Architectural_Tours,Category_Argentine,Category_Art_Galleries,Category_Art_Tours,Category_Arts_and_Crafts,Category_Arts_and_Entertainment,Category_Asian_Fusion,Category_Audio/Visual_Equipment_Rental,Category_Australian,Category_Auto_Detailing,Category_Auto_Glass_Services,Category_Auto_Repair,Category_Automotive,Category_Axe_Throwing,Category_Baby_Gear_and_Furniture,Category_Bagels,Category_Bakeries,Category_Bangladeshi,Category_Barbeque,Category_Bars,Category_Bartenders,Category_Basque,Category_Battery_Stores,Category_Beauty_and_Spas,Category_Bed_and_Breakfast,Category_Beer,Category_Beer_Bar,Category_Beer_Gardens,Category_Beer_Tours,Category_Belgian,Category_Beverage_Store,Category_Bike_tours,Category_Bistros,Category_Boat_Charters,Category_Boating,Category_Body_Shops,Category_Books,Category_Bookstores,Category_Bowling,Category_Brasseries,Category_Brazilian,Category_Breakfast_and_Brunch,Category_Breweries,Category_Brewing_Supplies,Category_Brewpubs,Category_Bridal,Category_British,Category_Bubble_Tea,Category_Buddhist_Temples,Category_Buffets,Category_Building_Supplies,Category_Burgers,Category_Burmese,Category_Bus_Tours,Category_Butcher,Category_CSA,Category_Cafes,Category_Cafeteria,Category_Cajun/Creole,Category_Canadian_(New),Category_Candy_Stores,Category_Cantonese,Category_Car_Stereo_Installation,Category_Car_Wash,Category_Caribbean,Category_Carpet_Cleaning,Category_Casinos,Category_Caterers,Category_Champagne_Bars,Category_Cheese_Shops,Category_Cheesesteaks,Category_Chicken_Shop,Category_Chicken_Wings,Category_Chinese,Category_Chiropractors,Category_Chocolatiers_and_Shops,Category_Churches,Category_Cideries,Category_Cigar_Bars,Category_Cocktail_Bars,Category_Coffee_and_Tea,Category_Coffee_Roasteries,Category_Coffeeshops,Category_Colombian,Category_Comedy_Clubs,Category_Comfort_Food,Category_Community_Service/Non-Profit,Category_Computers,Category_Convenience_Stores,Category_Cooking_Classes,Category_Cosmetic_Surgeons,Category_Cosmetics_and_Beauty_Supply,Category_Costumes,Category_Counseling_and_Mental_Health,Category_Country_Clubs,Category_Couriers_and_Delivery_Services,Category_Creperies,Category_Cuban,Category_Cultural_Center,Category_Cupcakes,Category_Custom_Cakes,Category_Customized_Merchandise,Category_Damage_Restoration,Category_Dance_Clubs,Category_Delicatessen,Category_Delis,Category_Department_Stores,Category_Departments_of_Motor_Vehicles,Category_Desserts,Category_Diagnostic_Imaging,Category_Diagnostic_Services,Category_Dietitians,Category_Dim_Sum,Category_Diners,Category_Dinner_Theater,Category_Discount_Store,Category_Distilleries,Category_Dive_Bars,Category_Do-It-Yourself_Food,Category_Doctors,Category_Dominican,Category_Donairs,Category_Donburi,Category_Donuts,Category_Drugstores,Category_Eatertainment,Category_Education,Category_Electronics,Category_Empanadas,Category_Ethiopian,Category_Ethnic_Food,Category_Ethnic_Grocery,Category_Event_Planning_and_Services,Category_Eyewear_and_Opticians,Category_Falafel,Category_Farmers_Market,Category_Farms,Category_Fashion,Category_Fast_Food,Category_Festivals,Category_Filipino,Category_Fish_and_Chips,Category_Fishing,Category_Fitness_and_Instruction,Category_Floral_Designers,Category_Florists,Category_Flowers_and_Gifts,Category_Fondue,Category_Food,Category_Food_Banks,Category_Food_Court,Category_Food_Delivery_Services,Category_Food_Stands,Category_Food_Tours,Category_Food_Trucks,Category_French,Category_Fruits_and_Veggies,Category_Furniture_Reupholstery,Category_Furniture_Stores,Category_Gardeners,Category_Gas_Stations,Category_Gastropubs,Category_Gay_Bars,Category_Gelato,Category_Georgian,Category_German,Category_Gift_Shops,Category_Gluten-Free,Category_Golf,Category_Greek,Category_Grocery,Category_Hair_Salons,Category_Haitian,Category_Halal,Category_Hawaiian,Category_Health_and_Medical,Category_Health_Markets,Category_Herbal_Shops,Category_Herbs_and_Spices,Category_Himalayan/Nepalese,Category_Historical_Tours,Category_Hobby_Shops,Category_Home_and_Garden,Category_Home_Decor,Category_Home_Services,Category_Honduran,Category_Hookah_Bars,Category_Hospitals,Category_Hot_Dogs,Category_Hot_Pot,Category_Hotels,Category_Hotels_and_Travel,Category_Hunting_and_Fishing_Supplies,Category_Ice_Cream_and_Frozen_Yogurt,Category_Imported_Food,Category_Indian,Category_Indoor_Playcentre,Category_International_Grocery,Category_Internet_Cafes,Category_Irish,Category_Irish_Pub,Category_Italian,Category_Japanese,Category_Japanese_Curry,Category_Jazz_and_Blues,Category_Jewelry,Category_Juice_Bars_and_Smoothies,Category_Karaoke,Category_Kebab,Category_Kids_Activities,Category_Kitchen_and_Bath,Category_Kitchen_Supplies,Category_Knife_Sharpening,Category_Kombucha,Category_Korean,Category_Kosher,Category_LAN_Centers,Category_Laotian,Category_Latin_American,Category_Leather_Goods,Category_Lebanese,Category_Lighting_Stores,Category_Limos,Category_Live/Raw_Food,Category_Local_Flavor,Category_Local_Services,Category_Lounges,Category_Macarons,Category_Mags,Category_Marinas,Category_Mass_Media,Category_Massage,Category_Massage_Therapy,Category_Meat_Shops,Category_Medical_Spas,Category_Mediterranean,Category_Mexican,Category_Middle_Eastern,Category_Mobile_Phones,Category_Modern_European,Category_Mongolian,Category_Moroccan,Category_Motorcycle_Dealers,Category_Music_and_Video,Category_Music_Venues,Category_Musicians,Category_Nail_Salons,Category_New_Mexican_Cuisine,Category_Nicaraguan,Category_Nightlife,Category_Noodles,Category_Nurseries_and_Gardening,Category_Nutritionists,Category_Office_Equipment,Category_Oil_Change_Stations,Category_Olive_Oil,Category_Optometrists,Category_Organic_Stores,Category_Oriental,Category_Outdoor_Furniture_Stores,Category_Paddleboarding,Category_Paint_and_Sip,Category_Pakistani,Category_Pan_Asian,Category_Pancakes,Category_Parking,Category_Parks,Category_Party_and_Event_Planning,Category_Party_Equipment_Rentals,Category_Pasta_Shops,Category_Patisserie/Cake_Shop,Category_Pediatricians,Category_Pedicabs,Category_Performing_Arts,Category_Persian/Iranian,Category_Personal_Chefs,Category_Peruvian,Category_Pet_Adoption,Category_Pet_Groomers,Category_Pet_Services,Category_Pet_Stores,Category_Pet_Training,Category_Pets,Category_Pharmacy,Category_Photography_Stores_and_Services,Category_Piano_Bars,Category_Pick_Your_Own_Farms,Category_Pizza,Category_Playgrounds,Category_Plumbing,Category_Poke,Category_Polish,Category_Pool_Halls,Category_Pop-Up_Restaurants,Category_Pop-up_Shops,Category_Popcorn_Shops,Category_Portuguese,Category_Pretzels,Category_Printing_Services,Category_Professional_Services,Category_Public_Markets,Category_Public_Services_and_Government,Category_Pubs,Category_Puerto_Rican,Category_RV_Parks,Category_RV_Repair,Category_Radiologists,Category_Rafting/Kayaking,Category_Ramen,Category_Real_Estate,Category_Religious_Organizations,Category_Resorts,Category_Restaurant_Supplies,Category_Restaurants,Category_Roadside_Assistance,Category_Russian,Category_Salad,Category_Salvadoran,Category_Sandwiches,Category_Seafood,Category_Seafood_Markets,Category_Self_Storage,Category_Senegalese,Category_Service_Stations,Category_Shared_Office_Spaces,Category_Shaved_Ice,Category_Shopping,Category_Shopping_Centers,Category_Sicilian,Category_Singaporean,Category_Skin_Care,Category_Smog_Check_Stations,Category_Smokehouse,Category_Soul_Food,Category_Soup,Category_Southern,Category_Souvenir_Shops,Category_Spanish,Category_Specialty_Food,Category_Specialty_Schools,Category_Sporting_Goods,Category_Sports_Bars,Category_Sports_Wear,Category_Spray_Tanning,Category_Steakhouses,Category_Street_Vendors,Category_Sushi_Bars,Category_Syrian,Category_Szechuan,Category_Tabletop_Games,Category_Tacos,Category_Taiwanese,Category_Tanning,Category_Tanning_Beds,Category_Tapas_Bars,Category_Tapas/Small_Plates,Category_Tasting_Classes,Category_Tea_Rooms,Category_Tennis,Category_Teppanyaki,Category_Tex-Mex,Category_Thai,Category_Themed_Cafes,Category_Ticket_Sales,Category_Tiki_Bars,Category_Tires,Category_Tobacco_Shops,Category_Tonkatsu,Category_Tours,Category_Toy_Stores,Category_Traditional_Chinese_Medicine,Category_Trailer_Repair,Category_Transmission_Repair,Category_Transportation,Category_Travel_Services,Category_Turkish,Category_Vegan,Category_Vegetarian,Category_Venezuelan,Category_Venues_and_Event_Spaces,Category_Video_Game_Stores,Category_Vietnamese,Category_Vitamins_and_Supplements,Category_Waffles,Category_Walking_Tours,Category_Water_Stores,Category_Wedding_Planning,Category_Whiskey_Bars,Category_Wholesale_Stores,Category_Wholesalers,Category_Wigs,Category_Windshield_Installation_and_Repair,Category_Wine_and_Spirits,Category_Wine_Bars,Category_Wine_Tasting_Classes,Category_Wine_Tasting_Room,Category_Wine_Tours,Category_Wineries,Category_Women's_Clothing,Category_Wraps,Category_Yoga
Vvq9QucD0IokLBlkbttd3Q,Brioche Dorée,AB,3.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qL4Ya3cBmPLIUlXdx0aEsw,Blue Taj Restaurant,AB,2.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e0iCFeakO_y2Jwjm8stW8w,Taste of Szechuan,AB,4.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J6KMedR-L-tP4wKIAsj7tw,Ricky's All Day Grill,AB,2.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rPCdcIzXOeeAFfaUhdJJ6A,Original Joe's Restaurant & Bar,AB,4.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHN77g2zWsEN1F_q9W_WdQ,Cha Island Tea,AB,4.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V41hJnfJSAad4L_YdVQBGQ,Zen Q,AB,4.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w1cH5PL1j3NciTHk2wgg9A,Nando's PERi-PERi,AB,3.5,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mNxt6P05Sf5fhPtw_CtC2A,Solstice Seasonal Cuisine,AB,4.5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zxJfzu6Hy4E5bjP9fzh93g,Nikki's,AB,4.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
