business_id,total_reviews,misclassified_count,misclassification_rate,business_name,cuisine_group
8eDkw7CE0NKqMknPIu26fw,2688,834,0.31026785714285715,Two Chicks Cafe,American;Specialty Food / Market
H3JjbID9Zhukpqr9uupHAA,1224,588,0.4803921568627451,Jackson's Bar & Bistro - Nashville,American
I0jFTYVDs-WHwKR2XHQlRA,1404,544,0.38746438746438744,Zen Yai Thai Cuisine,American;Fusion;Other;Thai
VZfc50XVwgdCecH4YbGNFg,1017,450,0.4424778761061947,EATS! American Grill,American
lS1dmSXpAtQqT04eRm9kiA,1104,392,0.35507246376811596,No Anchovies,Fast Food;Health / Vegetarian;Italian;Other
rViAhfKLKmwbhTKROM9m0w,626,290,0.46325878594249204,Casino Del Sol,American;Mexican
bT3pKLDsjk7JKfbVaHf9Lw,690,288,0.41739130434782606,Mozzarella Pizzeria,Bakery / Dessert;Health / Vegetarian;Italian;Specialty Food / Market
oLc7k78_YcDMnMCdbC-h1A,527,231,0.43833017077798864,Lucy's Retired Surfers Bar & Restaurant,American
NfQ-riXndI3U3EZvHxenMA,663,204,0.3076923076923077,Los Altos Breakfast Lunch & Dinner,American;Seafood
pP4q0Mym-qt20nRqTKbzhQ,459,189,0.4117647058823529,Morton's The Steakhouse,American;Seafood;Steakhouses / BBQ
9iBlpXwgBFLVnx6RmHsiCQ,490,180,0.3673469387755102,Foods On First,American;Other;Steakhouses / BBQ
k0AO8X3VzWe_F4lkMb0eSg,621,174,0.28019323671497587,The Cubby Hole,American;Other;Specialty Food / Market
6wzZ9FR3-bfqFz8ySgyavQ,400,150,0.375,Dickman's Meat & Deli,Other;Seafood;Specialty Food / Market
-If0ps0QhOLCYVWQWs9RYg,360,132,0.36666666666666664,Maple Street Patisserie,Other;Specialty Food / Market
I0053JmJ5DEFUWSJ8pikhA,273,117,0.42857142857142855,Golden Corral Buffet & Grill,American;Other
DbARcEuX6NvWN_hSQKHMJg,254,108,0.4251968503937008,Wat Mongkolratanaram of Florida,Thai
Zh8X1au_crT9jBs2LlPb2Q,314,108,0.34394904458598724,Aldine,American
nIE7ph1w_bttQMJQx5hUEQ,327,105,0.3211009174311927,D-Town Bar & Grill,American
YT0A2VuGbOAkhvJmpPXuxQ,264,105,0.3977272727272727,Texas Roadhouse,American;Steakhouses / BBQ
Nvy1jETQItFjG0oyjpGk7w,228,102,0.4473684210526316,Farmer & the Cow,American;Health / Vegetarian;Specialty Food / Market
